X,Y,OBJECTID,BearID,ReportDate,MortDate,Region,BMU,County,Locale,City,ZipCode,Latitude,Longitude,CauseMort,OCauseMort,CapReason,OCapReason,NCapReason,CapMethod,OrigCap,FinAction,OFinAction,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
342818.967,672370.4623,8388,Bear-0000014172,1998/01/06 00:00:00+00,1998/01/06 00:00:00+00,Northwest,East Panhandle,Wakulla, , ,0,30.05722,-84.59378,Unknown, , , , , , , , ,Unknown,Juvenile,120,2,0,0, , , , , ,0, ,
652869.050900001,377616.1109,8389,Bear-0000011883,1998/05/26 00:00:00+00,1998/05/26 00:00:00+00,Southwest,South Central,Highlands, ,Sebring,33875,27.380403,-81.438101,Illegal Kill, , , , , , , , ,Male,Cub,0,0,0,0,B106, ,B107, ,103,0,"7419, 7432",
239486.333299998,698066.2194,8390,Bear-0000014124,1998/06/19 00:00:00+00,1998/06/19 00:00:00+00,Northwest,East Panhandle,Bay, , ,0,30.2801667,-85.6703333,Illegal Kill, , , , , , , , ,Male,Juvenile,170,2,0,0, , , , , ,0, ,
670668.522100002,367958.0148,8391,Bear-0000014174,1998/07/08 00:00:00+00,1998/07/08 00:00:00+00,Southwest,South Central,Highlands, , ,0,27.29,-81.26,OTHER,Hit by train, , , , , , , ,Male,Adult,175,8,0,0, , , , , ,0, ,
503274.824700002,730309.5573,8392,Bear-0000011872,1998/11/29 00:00:00+00,1998/11/29 00:00:00+00,North Central,North,Hamilton, , ,0,30.5764333,-82.9223333,Illegal Kill, , , , , , , , ,Female,Adult,260,0,0,0, , , , , ,0, ,
615968.527899999,601682.2556,8393,Bear-0000011880,1998/12/04 00:00:00+00,1998/12/04 00:00:00+00,Northeast,Central,Marion, , ,0,29.4041667,-81.7708333,Illegal Kill, , , , , , , , ,Male,Cub,47,0.5,0,0, , , , , ,0, ,
292971.7579,662932.8449,8394,Bear-0000011882,1998/12/18 00:00:00+00,1998/12/18 00:00:00+00,Northwest,East Panhandle,Gulf, , ,0,29.9691,-85.1105,Illegal Kill, , , , , , , , ,Female,Cub,128,0,0,0, , , , , ,0, ,
630731.228300001,568947.774,8395,Bear-0000011881,1998/12/24 00:00:00+00,1998/12/24 00:00:00+00,Northeast,Central,Lake, , ,0,29.10694,-81.625,Illegal Kill, , , , , , , , ,Female,Adult,200,0,0,0, , , , , ,0, ,
631825.341499999,568198.097,8396,Bear-0000014178,1998/12/31 00:00:00+00,1998/12/31 00:00:00+00,Northeast,Central,Lake, , ,0,29.1,-81.61389,Unknown, , , , , , , , ,Unknown,Cub,0,0,0,0, , , , , ,0, ,
438001.958099999,698729.6521,8397,Bear-0000011887,1999/01/08 00:00:00+00,1999/01/08 00:00:00+00,North Central,East Panhandle,Taylor, , ,0,30.29539,-83.6045,Illegal Kill, , , , , , , , ,Female,Juvenile,130,1,0,0, , , , , ,0, ,
441316.345899999,684555.8301,8398,Bear-0000011904,1999/04/10 00:00:00+00,1999/04/10 00:00:00+00,North Central,East Panhandle,Taylor, , ,0,30.16759,-83.57052,Illegal Kill, , , , , , , , ,Female,Adult,200,4,0,0, , , , , ,0, ,
633774.645199999,234479.07,8399,Bear-0000014180,1999/06/10 00:00:00+00,1999/06/10 00:00:00+00,South,South,Collier, , ,0,26.09472,-81.65903,Unknown, , , , , , , , ,Male,Adult,300,0,0,0, , , , , ,0, ,
538494.083099999,722468.2268,8400,Bear-0000011969,1999/06/21 00:00:00+00,1999/06/21 00:00:00+00,North Central,North,Columbia, , ,0,30.50253,-82.55581,Natural, , , , , , , , ,Male,Cub,6,0.33,0,0, , , , , ,0, ,
619799.730999999,595767.7096,8401,Bear-0000014179,1999/06/27 00:00:00+00,1999/06/27 00:00:00+00,Northeast,Central,Marion, , ,0,29.35028,-81.73242,Unknown, , , , , , , , ,Male,Juvenile,120,2,0,0, , , , , ,0, ,
253929.276700001,682973.2764,8402,Bear-0000012000,1999/10/24 00:00:00+00,1999/10/24 00:00:00+00,Northwest,East Panhandle,Bay, , ,0,30.14588,-85.51812,Illegal Kill, , , , , , , , ,Male,Juvenile,200,0,0,0, , , , , ,0, ,
664176.850200001,375537.9864,8403,Bear-0000012003,1999/10/30 00:00:00+00,1999/10/30 00:00:00+00,Southwest,South Central,Highlands, , ,0,27.35953,-81.32403,Illegal Kill, , , , , , , , ,Male,Juvenile,165,1,0,0, , , , , ,0, ,
621247.8827,583780.0891,8404,Bear-0000012066,1999/12/21 00:00:00+00,1999/12/21 00:00:00+00,Northeast,Central,Marion, , ,0,29.2421,-81.71977,Illegal Kill, , , , , , , , ,Male,Adult,300,6,0,0, , , , , ,0, ,
656773.243700001,580610.5732,8405,Bear-0000014152,2000/01/12 00:00:00+00,2000/01/12 00:00:00+00,Northeast,Central,Volusia, , ,0,29.207173,-81.354443,Unknown, , , , , , , , ,Female,Adult,200,1,0,0, , , , , ,0, ,
595767.5592,573030.175,8406,Bear-0000010420,2000/03/01 00:00:00+00,2000/03/01 00:00:00+00,Northeast,Central,Marion, , ,0,29.149303,-81.984137,OTHER,Fire, , , , , , , ,Unknown,Cub,5,0.5,0,0, , , , , ,0, ,
595763.980799999,573029.228,8407,Bear-0000010421,2000/03/01 00:00:00+00,2000/03/01 00:00:00+00,Northeast,Central,Marion, , ,0,29.149295,-81.984174,OTHER,Fire, , , , , , , ,Unknown,Cub,5,0.5,0,0, , , , , ,0, ,
601068.420499999,585078.6785,8408,Bear-0000010433,2000/05/22 00:00:00+00,2000/05/22 00:00:00+00,Northeast,Central,Marion, , ,0,29.257,-81.927478,OTHER,Drowned, , , , , , , ,Female,Juvenile,134,18,0,0, , , , , ,0, ,
290531.965599999,714885.8243,8409,Bear-0000014153,2000/09/29 00:00:00+00,2000/09/29 00:00:00+00,Northwest,East Panhandle,Calhoun, , ,0,30.43695,-85.1408,Unknown, , , , , , , , ,Female,Adult,150,7,0,0, , , , , ,0, ,
629897.908100002,549456.362,8410,Bear-0000010575,2000/10/08 00:00:00+00,2000/10/08 00:00:00+00,Northeast,Central,Lake, , ,0,28.931594,-81.637419,Illegal Kill, , , , , , , , ,Male,Cub,0,0,0,0,53, , , ,53,0, ,
598570.131700002,575861.6907,8411,Bear-0000010500,2000/11/06 00:00:00+00,2000/11/06 00:00:00+00,Northeast,Central,Marion, , ,0,29.174383,-81.9548,Illegal Kill, , , , , , , , ,Female,Adult,200,0,0,0,90, , , ,90,0, ,
147559.266100001,732201.3052,8412,Bear-0000010577,2000/11/23 00:00:00+00,2000/11/23 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.5732481,-86.6342922,Natural, , , , , , , , ,Male,Adult,325,13,0,0, , , , , ,0, ,
610786.903299998,560331.8352,8413,Bear-0000010565,2000/12/10 00:00:00+00,2000/12/10 00:00:00+00,Northeast,Central,Marion, , ,0,29.032673,-81.831809,Illegal Kill, , , , , , , , ,Unknown,Juvenile,100,0,0,0, , , , , ,0, ,
411800.860300001,711627.5283,8414,Bear-0000010343,2001/01/18 00:00:00+00,2001/01/18 00:00:00+00,Northwest,East Panhandle,Jefferson,OTHER, ,0,30.4121,-83.87705,Illegal Kill, , , , , , , , ,Female,Juvenile,185,1,0,0, , , , , ,0, ,
618538.141100001,576821.1724,8415,Bear-0000014147,2001/04/09 00:00:00+00,2001/04/09 00:00:00+00,Northeast,Central,Marion,OTHER, ,0,29.17989,-81.749,Natural, , , , , , , , ,Female,Cub,0,0.5,0,0, , , , ,126,0, ,
618538.141100001,576821.1724,8416,Bear-0000014148,2001/04/09 00:00:00+00,2001/04/09 00:00:00+00,Northeast,Central,Marion,OTHER, ,0,29.17989,-81.749,Natural, , , , , , , , ,Female,Cub,0,0.5,0,0, , , , ,127,0, ,
618538.141100001,576821.1724,8417,Bear-0000014145,2001/04/10 00:00:00+00,2001/04/10 00:00:00+00,Northeast,Central,Marion,OTHER, ,0,29.17989,-81.749,Natural, , , , , , , , ,Female,Cub,0,0,2,0, , , , , ,0, ,
271828.211399999,661637.8042,8418,Bear-0000007813,2002/11/05 00:00:00+00,2002/11/05 00:00:00+00,Northwest,East Panhandle,Gulf, , ,0,29.95555,-85.32972,Illegal Kill, , , , , , , , ,Male,Juvenile,200,3,0,0, , , , , ,0, ,
643544.454799999,531811.0816,8419,Bear-0000007670,2002/11/07 00:00:00+00,2002/11/07 00:00:00+00,Northeast,Central,Orange,OTHER,Titusville,32796,28.77031,-81.50089,Unknown, , , , , , , , ,Female,Juvenile,150,0,0,0, , , , , ,0, ,
399569.896299999,682139.6258,8420,Bear-0000007743,2002/12/28 00:00:00+00,2002/12/26 00:00:00+00,Northwest,East Panhandle,Jefferson,OTHER,Largo,0,30.14647,-84.00447,Natural, , , , , , , , ,Female,Juvenile,180,1,0,0, , , , , ,0, ,
411958.537599999,702805.6752,8421,Bear-0000007578,2002/12/28 00:00:00+00,2002/12/28 00:00:00+00,Northwest,East Panhandle,Jefferson,OTHER,Carrabelle,32322,30.33261,-83.8755,Illegal Kill, , , , , , , , ,Female,Cub,103,0.83,0,0, , , , , ,0, ,
671479.235300001,214319.7826,8422,Bear-0000014183,2003/01/02 00:00:00+00,2002/12/28 00:00:00+00,South,South,Collier,OTHER, ,0,25.90613,-81.28602,Unknown, , , , , , , , ,Female,Adult,260,10,0,0, , , , , ,0,/,
603002.709800001,561037.9,8423,Bear-0000012199,2003/01/16 00:00:00+00,2003/01/16 00:00:00+00,Northeast,Central,Marion, , ,0,29.04024,-81.91174,Illegal Kill, , , , , , , , ,Male,Juvenile,175,2,0,0,540, ,540, , ,0,11888,
266384.867800001,689378.985,8424,Bear-0000007687,2003/01/22 00:00:00+00,2003/01/18 00:00:00+00,Northwest,East Panhandle,Bay,OTHER,Panama city Beach,32408,30.20491,-85.38943,Illegal Kill, , , , , , , , ,Male,Adult,400,5,0,0, , , , , ,0, ,
645152.548900001,237907.1387,8425,Bear-0000009916,2003/01/25 00:00:00+00,2003/01/18 00:00:00+00,South,South,Collier,Golden Gate Estates,Naples,34117,26.12361,-81.54444,Illegal Kill, , , , , , , , ,Male,Adult,350,0,0,0, , , , , ,0,/,
621266.217500001,581581.4221,8426,Bear-0000012257,2003/04/28 00:00:00+00,2003/03/19 00:00:00+00,Northeast,Central,Marion,OTHER, ,0,29.2223,-81.72,Natural, , , , , , , , ,Female,Adult,128,6,0,0,R075, ,R075, ,R75,0,"1,524,515,303",
601055.377599999,577865.8077,8427,Bear-0000014184,2003/07/16 00:00:00+00,2003/07/11 00:00:00+00,Northeast,Central,Marion,OTHER, ,0,29.192055,-81.928861,Unknown, , , , , , , , ,Unknown,Cub,0,0,0,0, , , , , ,0, ,
682929.390900001,276088.9459,8428,Bear-0000007850,2003/07/17 00:00:00+00,2003/07/17 00:00:00+00,South,South,Hendry,OTHER,Montura,33440,26.46023,-81.15736,Illegal Kill, , , , , , , , ,Male,Juvenile,150,0,0,0, , , , , ,0,/,
622566.028499998,556842.5513,8429,Bear-0000007458,2003/09/20 00:00:00+00,2003/09/20 00:00:00+00,Northeast,Central,Marion,OTHER,Umatilla,32784,28.99934,-81.71134,Illegal Kill, , , , , , , , ,Male,Adult,350,0,0,0, , , , , ,0, ,
650431.1589,532432.4953,8430,Bear-0000007586,2004/06/09 00:00:00+00,2003/10/19 00:00:00+00,Northeast,Central,Orange,OTHER, ,0,28.77463,-81.43011,Unknown, , , , , , , , ,Male,Adult,0,5.5,0,0, , ,617, , ,0,12905,
647358.486099999,548803.5327,8431,Bear-0000012347,2003/10/25 00:00:00+00,2003/10/21 00:00:00+00,Northeast,Central,Lake,Royal Trails,Eustis,32736,28.92259,-81.45817,Illegal Kill, , , , , , , , ,Male,Adult,0,10,0,0, , , , , ,0,"13809; 13811; 13945",
282453.653099999,725201.2099,8432,Bear-0000012371,2004/01/12 00:00:00+00,2004/01/03 00:00:00+00,Northwest,East Panhandle,Calhoun,OTHER, ,0,30.5292,-85.22605,Illegal Kill, , , , , , , , ,Male,Juvenile,175,1,0,0, , , , , ,0, ,
217758.335499998,717375.6196,8433,Bear-0000012377,2004/02/09 00:00:00+00,2004/02/08 00:00:00+00,Northwest,West Panhandle,Walton,OTHER, ,0,30.4513,-85.8995,Illegal Kill, , , , , , , , ,Male,Adult,250,0,0,0, , , , , ,0, ,
638244.333799999,256753.4737,8434,Bear-0000009897,2004/07/23 00:00:00+00,2004/07/21 00:00:00+00,South,South,Collier,Golden Gate Estates,Naples,0,26.29461,-81.60996,Unknown, , , , , , , , ,Unknown,Cub,25,0,0,0, , , , , ,0,/,
662064.6591,573523.1492,8435,Bear-0000008702,2004/09/01 00:00:00+00,2004/09/01 00:00:00+00,Northeast,Central,Volusia,OTHER,Orlando,0,29.14233,-81.30154,Illegal Kill, , , , , , , , ,Unknown,Unknown,0,0,0,0, , , , , ,0,17001,
638909.823399998,575797.6643,8436,Bear-0000007723,2004/10/02 00:00:00+00,2004/10/02 00:00:00+00,Northeast,Central,Lake,OTHER,Astor,32102,29.16717,-81.53943,Illegal Kill, , , , , , , , ,Female,Juvenile,120,3,0,0, , , , , ,0,"16183;16184",
662114.8356,573538.6868,8437,Bear-0000008703,2004/11/01 00:00:00+00,2004/11/01 00:00:00+00,Northeast,Central,Volusia,OTHER,Orlando,0,29.14246,-81.30102,Illegal Kill, , , , , , , , ,Unknown,Unknown,0,0,0,0, , , , , ,0,16998,
363426.760899998,689355.255,8438,Bear-0000012573,2004/12/23 00:00:00+00,2004/12/23 00:00:00+00,Northwest,East Panhandle,Wakulla,OTHER, ,0,30.21097,-84.38033,Illegal Kill, , , , , , , , ,Unknown,Cub,0,0,0,0, , , , , ,0, ,
568310.897999998,688165.6008,8439,Bear-0000007466,2005/01/25 00:00:00+00,2005/01/25 00:00:00+00,North Central,North,Baker,OTHER,Jacksonville,0,30.19,-82.25,Illegal Kill, , , , , , , , ,Female,Juvenile,225,2,0,0, , , , , ,0,16770,
673231.261999998,615682.9253,8440,Bear-0000008717,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,Northeast,Central,Flagler, ,St. Augustine,0,29.51967,-81.17666,Illegal Kill, , , , , , , , ,Unknown,Unknown,0,0,0,0, , , , , ,0, ,
643959.040899999,226971.2909,8441,Bear-0000012745,2005/11/05 00:00:00+00,2005/11/04 00:00:00+00,South,South,Collier,OTHER, ,0,26.0253,-81.55856,Illegal Kill, , , , , , , , ,Female,Adult,260,3,0,0, , , , , ,0, ,
634810.781599998,538972.5423,8442,Bear-0000007654,2005/12/05 00:00:00+00,2005/12/05 00:00:00+00,Northeast,Central,Lake, ,Eustis,0,28.83635,-81.58905,Illegal Kill, , , , , , , , ,Male,Adult,0,0,0,0,E015, , , ,N15,0,18800,
268700.237300001,675073.4177,8443,Bear-0000012649,2005/12/17 00:00:00+00,2005/12/17 00:00:00+00,Northwest,East Panhandle,Gulf, , ,0,30.07627,-85.36371,Illegal Kill, , , , , , , , ,Male,Adult,350,3,0,0, , , , , ,0, ,
668166.191100001,510221.1643,8444,Bear-0000007519,2006/01/13 00:00:00+00,2006/01/11 00:00:00+00,Northeast,Central,Orange,Royal Trails,Eustis,0,28.57123,-81.25325,Illegal Kill, , , , , , , , ,Male,Unknown,0,0,0,0, , , , , ,0,"19192, 19193",
280503.136799999,661578.8408,8445,Bear-0000007766,2006/02/04 00:00:00+00,2006/02/03 00:00:00+00,Northwest,East Panhandle,Gulf,OTHER, ,0,29.955833,-85.239722,Illegal Kill, , , , , , , , ,Male,Juvenile,150,2,0,0, , , , , ,0,19365,
602874.515500002,611170.3008,8446,Bear-0000007508,2006/05/29 00:00:00+00,2006/05/28 00:00:00+00,Northeast,Central,Marion,OTHER,Fort McCoy,32134,29.491673,-81.904295,Illegal Kill, , , , , , , , ,Male,Juvenile,100,1,0,0, , , , , ,0, ,
629099.355599999,648239.8005,8447,Bear-0000009898,2006/07/02 00:00:00+00,2006/07/02 00:00:00+00,Northeast,Central,Putnam,OTHER,Gainesville,32601,29.821222,-81.626083,Illegal Kill, , , , , , , , ,Male,Adult,550,0,0,0,E039, ,E039, ,N39,0, ,
634085.808899999,548519.4822,8448,Bear-0000007684,2006/07/27 00:00:00+00,2006/07/27 00:00:00+00,Northeast,Central,Lake,Royal Trails, ,0,28.92243,-81.59458,Unknown, , , , , , , , ,Male,Adult,250,0,0,0, , , , , ,0,20629,
622248.328600001,584362.8208,8449,Bear-0000007600,2006/08/17 00:00:00+00,2006/08/14 00:00:00+00,Northeast,Central,Marion,OTHER,Gainesville,32601,29.24718,-81.70935,Illegal Kill, , , , , , , , ,Male,Juvenile,140,0,0,0, , , , , ,0, ,
342149.072900001,652684.3937,8450,Bear-0000007518,2006/10/02 00:00:00+00,2006/10/01 00:00:00+00,Northwest,East Panhandle,Franklin,OTHER,Carrabelle,0,29.879855,-84.599742,Illegal Kill, , , , , , , , ,Male,Juvenile,330,2,0,0, , , , , ,0,"21047; 21275; 21463; 24762",
652818.810400002,503620.7813,8451,Bear-0000007469,2006/10/08 00:00:00+00,2006/10/08 00:00:00+00,Northeast,Central,Orange, ,Eustis,0,28.5148,-81.41182,Illegal Kill, , , , , , , , ,Unknown,Unknown,0,0,0,0, , , , , ,0,21018,
580892.422400001,689957.1174,8452,Bear-0000007749,2006/10/26 00:00:00+00,2006/10/26 00:00:00+00,North Central,North,Baker,OTHER,Olustee,32072,30.20447,-82.11892,Illegal Kill, , , , , , , , ,Male,Adult,164,5,0,0, , , , , ,0, ,
284733.339899998,687975.4265,8453,Bear-0000007864,2006/12/18 00:00:00+00,2006/12/16 00:00:00+00,Northwest,East Panhandle,Gulf,OTHER, ,0,30.194,-85.1985,Illegal Kill, , , , , , , , ,Male,Juvenile,171,2,0,0, , , , , ,0, ,
128332.906399999,716601.4419,8454,Bear-0000012761,2006/12/30 00:00:00+00,2006/12/30 00:00:00+00,Northwest,West Panhandle,Santa Rosa,OTHER,Navarre,0,30.42887,-86.83112,Illegal Kill, , , , , , , , ,Male,Juvenile,318,2,0,0, , , , , ,0,21743,
395954.017200001,699535.5507,8455,Bear-0000007720,2007/03/01 00:00:00+00,2007/02/22 00:00:00+00,Northwest,East Panhandle,Jefferson,OTHER, ,0,30.303194,-84.042111,Illegal Kill, , , , , , , , ,Male,Adult,300,3,0,0, , , , , ,0, ,
646252.6635,241269.1553,8456,Bear-0000014192,2007/08/02 00:00:00+00,2007/07/30 00:00:00+00,South,South,Collier,Golden Gate Estates,Naples,34117,26.1537,-81.53275,Unknown, , , , , , , , ,Unknown,Cub,0,0,0,0, , , , , ,0, ,
669111.2414,501798.7879,8457,Bear-0000014191,2007/08/14 00:00:00+00,2007/08/14 00:00:00+00,Northeast,Central,Orange,OTHER, ,0,28.49522,-81.2455,OTHER,See Additional Notes, , , , , , , ,Male,Juvenile,100,1,0,0, , , , , ,0,22833,
686938.727899998,316713.4129,8458,Bear-0000007674,2007/08/30 00:00:00+00,2007/08/31 00:00:00+00,South,South Central,Glades,OTHER,Moore Haven,0,26.82524,-81.10752,Illegal Kill, , , , , , , , ,Male,Adult,350,3,0,0, , , , , ,0,29599,
617278.632399999,599037.7345,8459,Bear-0000012835,2007/09/18 00:00:00+00,2007/09/13 00:00:00+00,Northeast,Central,Marion,OTHER, ,0,29.38014,-81.75781,Illegal Kill, , , , , , , , ,Male,Juvenile,175,0,0,0, , , , , ,0, ,
561548.714299999,684212.968,8460,Bear-0000007798,2007/09/30 00:00:00+00,2007/09/25 00:00:00+00,North Central,North,Baker,OTHER,Lake City,0,30.15524,-82.32086,Illegal Kill, , , , , , , , ,Male,Adult,350,3,0,0, , , , , ,0, ,
556627.161899999,684130.3184,8461,Bear-0000007537,2007/11/25 00:00:00+00,2007/11/23 00:00:00+00,North Central,North,Baker,OTHER, ,0,30.15509,-82.37202,Illegal Kill, , , , , , , , ,Unknown,Juvenile,100,0,0,0, , , , , ,0, ,
391880.658199999,706972.0954,8462,Bear-0000007806,2007/12/19 00:00:00+00,2007/12/19 00:00:00+00,Northwest,East Panhandle,Leon, , ,0,30.37018,-84.08456,Illegal Kill, , , , , , , , ,Male,Juvenile,175,1,0,0, , , , , ,0, ,
396369.143199999,690019.7591,8463,Bear-0000012930,2007/12/22 00:00:00+00,2007/12/22 00:00:00+00,Northwest,East Panhandle,Jefferson, , ,0,30.21746,-84.03776,Illegal Kill, , , , , , , , ,Male,Adult,450,4,0,0, , , , , ,0, ,
278336.0557,652749.476,8464,Bear-0000012963,2007/12/23 00:00:00+00,2007/12/22 00:00:00+00,Northwest,East Panhandle,Gulf, , ,0,29.8761038,-85.261266,Illegal Kill, , , , , , , , ,Female,Adult,195,13,0,0, , , , , ,0, ,
286016.487100001,676063.4485,8465,Bear-0000012964,2007/12/23 00:00:00+00,2007/12/22 00:00:00+00,Northwest,East Panhandle,Gulf, , ,0,30.0868,-85.18397,Illegal Kill, , , , , , , , ,Female,Juvenile,125,1,0,0, , , , , ,0, ,
615567.918499999,593930.3917,8466,Bear-0000012941,2008/01/19 00:00:00+00,2008/01/19 00:00:00+00,Northeast,Central,Marion,OTHER, ,0,29.33443,-81.77641,Illegal Kill, , , , , , , , ,Male,Cub,0,1,0,0, , , , , ,0, ,
662807.344900001,222279.7826,8467,Bear-0000012948,2008/02/04 00:00:00+00,2008/02/04 00:00:00+00,South,South,Collier,OTHER, ,0,25.97954,-81.37099,Illegal Kill, , , , , , , , ,Male,Juvenile,300,2,0,0, , , , , ,0, ,
614149.5403,557433.4248,8468,Bear-0000012957,2008/03/09 00:00:00+00,2008/03/08 00:00:00+00,Northeast,Central,Marion, , ,0,29.00604,-81.79776,Illegal Kill, , , , , , , , ,Male,Juvenile,400,1,0,0, , , , , ,0, ,
643886.966499999,558866.689,8469,Bear-0000007764,2008/05/03 00:00:00+00,2008/05/01 00:00:00+00,Northeast,Central,Lake,Lake Kathryn,Weirsdale,32195,29.01383,-81.49173,Illegal Kill, , , , , , , , ,Male,Juvenile,80,1,0,0, , , , , ,0, ,
649157.151099999,536520.284,8470,Bear-0000008867,2008/05/05 00:00:00+00,2008/05/05 00:00:00+00,Northeast,Central,Lake,OTHER, ,0,28.81167,-81.44231,Illegal Kill, , , , , , , , ,Male,Cub,45,0.26,0,0, , , , , ,0, ,
624246.384,241399.0412,8471,Bear-0000007685,2008/06/28 00:00:00+00,2008/06/26 00:00:00+00,South,South,Collier,Golden Gate Estates, ,0,26.15866,-81.75316,Illegal Kill, , , , , , , , ,Male,Juvenile,115,3,0,0, , , , , ,0, ,
653520.195099998,565185.0581,8472,Bear-0000014194,2008/07/09 00:00:00+00,2008/07/09 00:00:00+00,Northeast,Central,Volusia, , ,0,29.068916,-81.391311,Unknown, , , , , , , , ,Male,Cub,35,1,0,0, , , , , ,0, ,
548165.025199998,694228.6834,8473,Bear-0000007734,2008/10/20 00:00:00+00,2008/10/20 00:00:00+00,North Central,North,Columbia,OTHER,Jacksonville,32210,30.247043,-82.458654,Illegal Kill, , , , , , , , ,Male,Juvenile,220,3,0,0, , , , , ,0, ,
456806.9366,685132.7047,8474,Bear-0000007702,2008/12/28 00:00:00+00,2008/12/28 00:00:00+00,North Central,East Panhandle,Taylor,OTHER,perry,32348,30.17221,-83.40947,Illegal Kill, , , , , , , , ,Female,Cub,70,0.92,1,0, , , , , ,0, ,
620024.880199999,563173.0883,8475,Bear-0000013067,2009/04/04 00:00:00+00,2009/04/04 00:00:00+00,Northeast,Central,Marion,OTHER,Umatilla,32784,29.05676,-81.73627,Illegal Kill, , , , , , , , ,Male,Juvenile,69,1,0,0, , , , , ,0, ,
633395.425500002,450860.2117,8476,Bear-0000007509,2009/04/19 00:00:00+00,2009/04/19 00:00:00+00,Southwest,South Central,Polk,OTHER,Altoona,32702,28.04334,-81.62103,Unknown, , , , , , , , ,Male,Juvenile,200,2,0,0, , , , , ,0, ,
616158.455699999,276071.1993,8477,Bear-0000007571,2009/05/07 00:00:00+00,2009/05/07 00:00:00+00,Southwest,South,Lee,San Carlos Park,Fort Myers,0,26.4723,-81.828062,Illegal Kill, , , , , , , , ,Female,Adult,158,3,0,0, , , , , ,0,28713,
121677.964299999,719670.0946,8478,Bear-0000007525,2009/05/08 00:00:00+00,2009/05/13 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,Navarre,0,30.45512,-86.9012,Illegal Kill, , , , , , , , ,Male,Adult,370,14,0,0, , , , , ,0,28620,
643657.2733,523193.7248,8479,Bear-0000007752,2009/06/13 00:00:00+00,2009/06/13 00:00:00+00,Northeast,Central,Orange,OTHER,Apopka,32712,28.692709,-81.501524,OTHER,Electrocuted, , , , , , , ,Female,Cub,11,0,0,0, , , , , ,0,"29981, 29981, 28914, 28915",
